stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
89303,,Estadio Marista Colegio Champagnat,,-33.0371796114733,-71.3693703152239,,,0,,
89304,,Ascensor Artilleria,,-33.0336320357563,-71.6300142277032,,,0,,
89305,,Madrid / Este,,-33.0380970115629,-71.4001723006368,,,0,,
89306,,Veinte De Enero - Madrid,,-33.0559319491408,-71.401029486442,,,0,,
89307,,Errazuriz - Rodriguez / Oriente,,-33.0435175103748,-71.6154712904244,,,0,,
89308,,Los Zapadores - Los Pioneros,,-33.0650930767899,-71.3745794165879,,,0,,
89309,,Canal Moraleda - Los Andes,,-33.0460564054197,-71.3468963373452,,,0,,
89310,,Manuel Montt - God Bless You,,-33.0505911395365,-71.3444796670228,,,0,,
89311,,Hipódromo - Los Maitenes / Oriente,,-33.0584752204026,-71.3549239374697,,,0,,
89312,,Traslaviña - Los Espinos,,-33.0492864252403,-71.384995240951,,,0,,
89313,,La Aguada - Tierras Rojas / Sur,,-33.0586707959834,-71.4132877159864,,,0,,
89314,,Ojos De Agua - Río Limarí,,-33.0630228022376,-71.3996929395944,,,0,,
89316,,El Belloto - Leucotón,,-33.034247464778,-71.4078734256327,,,0,,
89317,,Huanhuali - Araya / Oriente,,-33.052407665583,-71.3827440608293,,,0,,
89318,,Errazuriz - Gomez Carreño / Oriente,,-33.0400488922312,-71.6256046760828,,,0,,
89319,,El Belloto - Frutillar / Sur,,-33.0320437933765,-71.4078358747066,,,0,,
89320,,El Ocaso - Guaranies,,-33.049152280428,-71.4150692318799,,,0,,
